Drug1,Drug2,Compatibility
Amikacin sulfate,Omeprazole sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amikacin sulfate,Ondansetron hydrochloride,Compatible
Amikacin sulfate,Phenobarbital sodium,Compatible
Amikacin sulfate,Penicillin G sodium,Compatible
Amikacin sulfate,Phenytoin sodium,Not compatible
Amikacin sulfate,Piperacillin sodium-Tazobactam sodium,Compatible
Amikacin sulfate,Potassium chloride,Compatible
Amikacin sulfate,Potassium phosphates,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amikacin sulfate,Sodium acetate,Compatible
Amikacin sulfate,Sodium bicarbonate,Compatible
Amikacin sulfate,Sulfamethoxazole-Trimethoprim,Not compatible
Amikacin sulfate,Vancomycin hydrochloride,Compatible
Aminophylline,Acetaminophen/Paracetamol,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Aminophylline,Acyclovir,Compatible
Aminophylline,Amikacin sulfate,Compatible
Aminophylline,Amoxicillin sodium-clavulanate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Aminophylline,Ampicillin sodium,Not compatible
Aminophylline,Ampicillin sodium-sulbactam sodium*,Compatible if NaCl 0.9% used
Aminophylline,Calcium chloride,Compatible
Aminophylline,Calcium gluconate,Compatible
Aminophylline,Cefazolin sodium,Compatible
Aminophylline,Ceftazidime,Compatible
Aminophylline,Ceftriaxone sodium,Compatible
Aminophylline,Ciprofloxacin,Not compatible
Aminophylline,Clindamycin phosphate,Compatible
Aminophylline,Clonidine hydrocloride,Compatible
Aminophylline,Cloxacillin sodium,Compatible
Aminophylline,Diazepam,Not compatible
Aminophylline,Erythromycin lactobionate,Compatible
Aminophylline,Fluconazole,Compatible
Aminophylline,Furosemide (Frusemide),Compatible
Aminophylline,Gentamicin sulfate,Compatible
Aminophylline,Hydrocortisone sodium succinate,Compatible
Aminophylline,Ibuprofen,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Aminophylline,Ketamine HCl,Not compatible
Aminophylline,Lorazepam,Compatible
Aminophylline,Levetiracetam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Aminophylline,Magnesium sulfate,Not compatible
Aminophylline,Meropenem,Compatible
Aminophylline,Methylprednisolone sodium succinate,Compatible
Aminophylline,Metronidazole,Compatible
Aminophylline,Morphine sulfate,Compatible
Aminophylline,Omeprazole sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Aminophylline,Ondansetron hydrochloride,Not compatible
Aminophylline,Phenobarbital sodium,Compatible
Aminophylline,Penicillin G sodium,Not compatible
Aminophylline,Phenytoin sodium,Not compatible
Aminophylline,Piperacillin sodium-Tazobactam sodium,Compatible
Aminophylline,Potassium chloride,Compatible
Aminophylline,Potassium phosphates,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Aminophylline,Sodium acetate,Compatible
Aminophylline,Sodium bicarbonate,Compatible
Aminophylline,Sulfamethoxazole-Trimethoprim,Not compatible
Aminophylline,Vancomycin hydrochloride,Not compatible
Amoxicillin sodium-clavulanate,Acetaminophen/Paracetamol,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Acyclovir,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Amikacin sulfate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Aminophylline,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Ampicillin sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Ampicillin sodium-sulbactam sodium*,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Calcium chloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Calcium gluconate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Cefazolin sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Ceftazidime,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Ceftriaxone sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Ciprofloxacin,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Clindamycin phosphate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Clonidine hydrocloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Cloxacillin sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Diazepam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Erythromycin lactobionate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Fluconazole,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Furosemide (Frusemide),No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Gentamicin sulfate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Hydrocortisone sodium succinate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Ibuprofen,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Ketamine HCl,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Lorazepam,Compatible
Amoxicillin sodium-clavulanate,Levetiracetam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Magnesium sulfate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Meropenem,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Methylprednisolone sodium succinate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Metronidazole,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Morphine sulfate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Omeprazole sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Ondansetron hydrochloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Phenobarbital sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Penicillin G sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Phenytoin sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Piperacillin sodium-Tazobactam sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Potassium chloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Potassium phosphates,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Sodium acetate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Sodium bicarbonate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Sulfamethoxazole-Trimethoprim,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amoxicillin sodium-clavulanate,Vancomycin hydrochloride,Compatible
Ampicillin sodium,Acetaminophen/Paracetamol,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ampicillin sodium,Acyclovir,Compatible
Ampicillin sodium,Amikacin sulfate,Compatible if NaCl 0.9% used
Ampicillin sodium,Aminophylline,Not compatible
Ampicillin sodium,Amoxicillin sodium-clavulanate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ampicillin sodium,Ampicillin sodium-sulbactam sodium*,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ampicillin sodium,Calcium chloride,Compatible if NaCl 0.9% used
Ampicillin sodium,Calcium gluconate,Compatible if NaCl 0.9% used
Ampicillin sodium,Cefazolin sodium,Compatible if NaCl 0.9% used
Ampicillin sodium,Ceftazidime,Compatible if NaCl 0.9% used
Ampicillin sodium,Ceftriaxone sodium,Compatible if NaCl 0.9% used
Ampicillin sodium,Ciprofloxacin,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ampicillin sodium,Clindamycin phosphate,Compatible if NaCl 0.9% used
Ampicillin sodium,Clonidine hydrocloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ampicillin sodium,Cloxacillin sodium,Compatible if NaCl 0.9% used
Ampicillin sodium,Diazepam,Not compatible
Ampicillin sodium,Erythromycin lactobionate,Compatible if NaCl 0.9% used
Ampicillin sodium,Fluconazole,Not compatible
Ampicillin sodium,Furosemide (Frusemide),Compatible if NaCl 0.9% used
Ampicillin sodium,Gentamicin sulfate,Compatible if NaCl 0.9% used
Ampicillin sodium,Hydrocortisone sodium succinate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ampicillin sodium,Ibuprofen,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ampicillin sodium,Ketamine HCl,Not compatible
Ampicillin sodium,Lorazepam,Not compatible
Ampicillin sodium,Levetiracetam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ampicillin sodium,Magnesium sulfate,Compatible if NaCl 0.9% used
Ampicillin sodium,Meropenem,Compatible if NaCl 0.9% used
Ampicillin sodium,Methylprednisolone sodium succinate,Not compatible
Ampicillin sodium,Metronidazole,Compatible
Ampicillin sodium,Morphine sulfate,Compatible if NaCl 0.9% used
Ampicillin sodium,Omeprazole sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ampicillin sodium,Ondansetron hydrochloride,Not compatible
Ampicillin sodium,Phenobarbital sodium,Not compatible
Ampicillin sodium,Penicillin G sodium,Compatible if NaCl 0.9% used
Ampicillin sodium,Phenytoin sodium,Not compatible
Ampicillin sodium,Piperacillin sodium-Tazobactam sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ampicillin sodium,Potassium chloride,Compatible if NaCl 0.9% used
Ampicillin sodium,Potassium phosphates,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ampicillin sodium,Sodium acetate,Compatible
Ampicillin sodium,Sodium bicarbonate,Not compatible
Ampicillin sodium,Sulfamethoxazole-Trimethoprim,Not compatible
Ampicillin sodium,Vancomycin hydrochloride,Compatible if NaCl 0.9% used
Ampicillin sodium-sulbactam sodium*,Acetaminophen/Paracetamol,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ampicillin sodium-sulbactam sodium*,Acyclovir,Not compatible
Ampicillin sodium-sulbactam sodium*,Amikacin sulfate,Compatible if NaCl 0.9% used
Ampicillin sodium-sulbactam sodium*,Aminophylline,Compatible if NaCl 0.9% used
Ampicillin sodium-sulbactam sodium*,Amoxicillin sodium-clavulanate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ampicillin sodium-sulbactam sodium*,Ampicillin sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ampicillin sodium-sulbactam sodium*,Calcium chloride,Compatible if NaCl 0.9% used
Ampicillin sodium-sulbactam sodium*,Calcium gluconate,Compatible if NaCl 0.9% used
Ampicillin sodium-sulbactam sodium*,Cefazolin sodium,Compatible if NaCl 0.9% used
Ampicillin sodium-sulbactam sodium*,Ceftazidime,Compatible if NaCl 0.9% used
Ampicillin sodium-sulbactam sodium*,Ceftriaxone sodium,Compatible if NaCl 0.9% used
Ampicillin sodium-sulbactam sodium*,Ciprofloxacin,Not compatible
Ampicillin sodium-sulbactam sodium*,Clindamycin phosphate,Compatible if NaCl 0.9% used
Ampicillin sodium-sulbactam sodium*,Clonidine hydrocloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ampicillin sodium-sulbactam sodium*,Cloxacillin sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ampicillin sodium-sulbactam sodium*,Diazepam,Not compatible
Ampicillin sodium-sulbactam sodium*,Erythromycin lactobionate,Compatible if NaCl 0.9% used
Ampicillin sodium-sulbactam sodium*,Fluconazole,Compatible if NaCl 0.9% used
Ampicillin sodium-sulbactam sodium*,Furosemide (Frusemide),Compatible if NaCl 0.9% used
Ampicillin sodium-sulbactam sodium*,Gentamicin sulfate,Compatible if NaCl 0.9% used
Ampicillin sodium-sulbactam sodium*,Hydrocortisone sodium succinate,Not compatible
Ampicillin sodium-sulbactam sodium*,Ibuprofen,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ampicillin sodium-sulbactam sodium*,Ketamine HCl,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
